"ID","date","GDP"
"630","FI",1998-07-01,30211
"631","FI",1998-10-01,32300
"632","FI",1999-01-01,29646
"633","FI",1999-04-01,31708
"634","FI",1999-07-01,31549
"635","FI",1999-10-01,34013
"636","FI",2000-01-01,31760
"637","FI",2000-04-01,33855
"638","FI",2000-07-01,34085
"639","FI",2000-10-01,36742
"640","FI",2001-01-01,34478
"641","FI",2001-04-01,36355
"642","FI",2001-07-01,35971
"643","FI",2001-10-01,37824
"644","FI",2002-01-01,34872
"645","FI",2002-04-01,37617
"646","FI",2002-07-01,36750
"647","FI",2002-10-01,39247
"648","FI",2003-01-01,35521
"649","FI",2003-04-01,38037
"650","FI",2003-07-01,37829
"651","FI",2003-10-01,40362
"652","FI",2004-01-01,37179
"653","FI",2004-04-01,39698
"654","FI",2004-07-01,39307
"655","FI",2004-10-01,42574
"656","FI",2005-01-01,38833
"657","FI",2005-04-01,41351
"658","FI",2005-07-01,40813
"659","FI",2005-10-01,43690
"660","FI",2006-01-01,40783
"661","FI",2006-04-01,43086
"662","FI",2006-07-01,42847
"663","FI",2006-10-01,46181
"664","FI",2007-01-01,43767
"665","FI",2007-04-01,46752
"666","FI",2007-07-01,46326
"667","FI",2007-10-01,50227
"668","FI",2008-01-01,46267
"669","FI",2008-04-01,49312
"670","FI",2008-07-01,48517
"671","FI",2008-10-01,50169
"672","FI",2009-01-01,43667
"673","FI",2009-04-01,45577
"674","FI",2009-07-01,44973
"675","FI",2009-10-01,47530
"676","FI",2010-01-01,43754
"677","FI",2010-04-01,47450
"678","FI",2010-07-01,46389
"679","FI",2010-10-01,50550
"680","FI",2011-01-01,47068
"681","FI",2011-04-01,49806
"682","FI",2011-07-01,49137
"683","FI",2011-10-01,51987
"684","FI",2012-01-01,48753
"685","FI",2012-04-01,50545
"686","FI",2012-07-01,49574
"687","FI",2012-10-01,52165
"688","FI",2013-01-01,48499
"689","FI",2013-04-01,51636
"690","FI",2013-07-01,50841
"691","FI",2013-10-01,53345
"692","FI",2014-01-01,49297
"693","FI",2014-04-01,52089
"694","FI",2014-07-01,51454
"695","FI",2014-10-01,54057
"696","FI",2015-01-01,49970
"697","FI",2015-04-01,53487
"698","FI",2015-07-01,52526
"699","FI",2015-10-01,55533
"700","FI",2016-01-01,51521
"701","FI",2016-04-01,54916
"702","FI",2016-07-01,54120
"703","FI",2016-10-01,56927
"704","FI",2017-01-01,53722
"705","FI",2017-04-01,56775
"706","FI",2017-07-01,55830
"707","FI",2017-10-01,59458
"708","FI",2018-01-01,55851
"709","FI",2018-04-01,59173
"710","FI",2018-07-01,58032
"711","FI",2018-10-01,61413
"712","FI",2019-01-01,57439
"713","FI",2019-04-01,61222
"714","FR",1980-01-01,108316
"715","FR",1980-04-01,113061
"716","FR",1980-07-01,111344
"717","FR",1980-10-01,119050
"718","FR",1981-01-01,120480
"719","FR",1981-04-01,126163
"720","FR",1981-07-01,125223
"721","FR",1981-10-01,138119
"722","FR",1982-01-01,140474
"723","FR",1982-04-01,147212
"724","FR",1982-07-01,143633
"725","FR",1982-10-01,154671
"726","FR",1983-01-01,156195
"727","FR",1983-04-01,162536
"728","FR",1983-07-01,159925
"729","FR",1983-10-01,171858
"730","FR",1984-01-01,172778
"731","FR",1984-04-01,176338
"732","FR",1984-07-01,173360
"733","FR",1984-10-01,184554
"734","FR",1985-01-01,183671
"735","FR",1985-04-01,189093
"736","FR",1985-07-01,186577
"737","FR",1985-10-01,198346
"738","FR",1986-01-01,197803
"739","FR",1986-04-01,204230
"740","FR",1986-07-01,200683
"741","FR",1986-10-01,211880
"742","FR",1987-01-01,207632
"743","FR",1987-04-01,213163
"744","FR",1987-07-01,209807
"745","FR",1987-10-01,225381
"746","FR",1988-01-01,224040
"747","FR",1988-04-01,230834
"748","FR",1988-07-01,227515
"749","FR",1988-10-01,242827
"750","FR",1989-01-01,242693
"751","FR",1989-04-01,248615
"752","FR",1989-07-01,244121
"753","FR",1989-10-01,261691
"754","FR",1990-01-01,259791
"755","FR",1990-04-01,265185
"756","FR",1990-07-01,257602
"757","FR",1990-10-01,270967
"758","FR",1991-01-01,269001
"759","FR",1991-04-01,273487
"760","FR",1991-07-01,267718
"761","FR",1991-10-01,281499
"762","FR",1992-01-01,282640
"763","FR",1992-04-01,283722
"764","FR",1992-07-01,277079
"765","FR",1992-10-01,287543
"766","FR",1993-01-01,284193
"767","FR",1993-04-01,287360
"768","FR",1993-07-01,280227
"769","FR",1993-10-01,290339
"770","FR",1994-01-01,290596
"771","FR",1994-04-01,296556
"772","FR",1994-07-01,289696
"773","FR",1994-10-01,303019
"774","FR",1995-01-01,303640
"775","FR",1995-04-01,306457
"776","FR",1995-07-01,297855
"777","FR",1995-10-01,310321
"778","FR",1996-01-01,312010
"779","FR",1996-04-01,314137
"780","FR",1996-07-01,306825
"781","FR",1996-10-01,319294
"782","FR",1997-01-01,315835
"783","FR",1997-04-01,325164
"784","FR",1997-07-01,317211
"785","FR",1997-10-01,334565
"786","FR",1998-01-01,333343
"787","FR",1998-04-01,339437
"788","FR",1998-07-01,332041
"789","FR",1998-10-01,347076
"790","FR",1999-01-01,342697
"791","FR",1999-04-01,350113
"792","FR",1999-07-01,344713
"793","FR",1999-10-01,363478
"794","FR",2000-01-01,362994
"795","FR",2000-04-01,369184
"796","FR",2000-07-01,362909
"797","FR",2000-10-01,383497
"798","FR",2001-01-01,380704
"799","FR",2001-04-01,384087
"800","FR",2001-07-01,376805
"801","FR",2001-10-01,396603
"802","FR",2002-01-01,391493
"803","FR",2002-04-01,396847
"804","FR",2002-07-01,390763
"805","FR",2002-10-01,408725
"806","FR",2003-01-01,402960
"807","FR",2003-04-01,404092
"808","FR",2003-07-01,400994
"809","FR",2003-10-01,422620
"810","FR",2004-01-01,420723
"811","FR",2004-04-01,425536
"812","FR",2004-07-01,417963
"813","FR",2004-10-01,439794
"814","FR",2005-01-01,434639
"815","FR",2005-04-01,443436
"816","FR",2005-07-01,431908
"817","FR",2005-10-01,455922
"818","FR",2006-01-01,452054
"819","FR",2006-04-01,463149
"820","FR",2006-07-01,452506
"821","FR",2006-10-01,480442
"822","FR",2007-01-01,474579
"823","FR",2007-04-01,485409
"824","FR",2007-07-01,477538
"825","FR",2007-10-01,503835
"826","FR",2008-01-01,494508
"827","FR",2008-04-01,504344
"828","FR",2008-07-01,489344
"829","FR",2008-10-01,504184
"830","FR",2009-01-01,479527
"831","FR",2009-04-01,483938
"832","FR",2009-07-01,473583
"833","FR",2009-10-01,499388
"834","FR",2010-01-01,486902
"835","FR",2010-04-01,499690
"836","FR",2010-07-01,492123
"837","FR",2010-10-01,516574
"838","FR",2011-01-01,508026
"839","FR",2011-04-01,516922
"840","FR",2011-07-01,504942
"841","FR",2011-10-01,528478
"842","FR",2012-01-01,518217
"843","FR",2012-04-01,522854
"844","FR",2012-07-01,512477
"845","FR",2012-10-01,535255
"846","FR",2013-01-01,520990
"847","FR",2013-04-01,531359
"848","FR",2013-07-01,520887
"849","FR",2013-10-01,543952
"850","FR",2014-01-01,530240
"851","FR",2014-04-01,536926
