"ID","borrowers_country","date","HHCreditXDC"
"444","FI","Finland",1975-10-01,3.733
"445","GB","United Kingdom",1975-10-01,34.981
"446","HU","Hungary",1975-10-01,54.22
"447","IT","Italy",1975-10-01,15.01
"448","JP","Japan",1975-10-01,56989.2
"449","KR","Korea",1975-10-01,1380.398
"450","NO","Norway",1975-10-01,69.995
"451","US","United States",1975-10-01,747.477
"452","CA","Canada",1976-01-01,73.845
"453","DE","Germany",1976-01-01,244.589
"454","FI","Finland",1976-01-01,3.852
"455","GB","United Kingdom",1976-01-01,36.688
"456","HU","Hungary",1976-01-01,55.738
"457","IT","Italy",1976-01-01,15.295
"458","JP","Japan",1976-01-01,59020.1
"459","KR","Korea",1976-01-01,1381.493
"460","NO","Norway",1976-01-01,72.346
"461","US","United States",1976-01-01,756.712
"462","CA","Canada",1976-04-01,77.406
"463","DE","Germany",1976-04-01,252.368
"464","FI","Finland",1976-04-01,4.004
"465","GB","United Kingdom",1976-04-01,37.541
"466","HU","Hungary",1976-04-01,58.338
"467","IT","Italy",1976-04-01,15.1
"468","JP","Japan",1976-04-01,60999.8
"469","KR","Korea",1976-04-01,1475.746
"470","NO","Norway",1976-04-01,75.415
"471","US","United States",1976-04-01,783.379
"472","CA","Canada",1976-07-01,80.883
"473","DE","Germany",1976-07-01,258.15
"474","FI","Finland",1976-07-01,4.139
"475","GB","United Kingdom",1976-07-01,39.247
"476","HU","Hungary",1976-07-01,61.604
"477","IT","Italy",1976-07-01,15.561
"478","JP","Japan",1976-07-01,63733.2
"479","KR","Korea",1976-07-01,1633.161
"480","NO","Norway",1976-07-01,77.945
"481","US","United States",1976-07-01,808.3
"482","CA","Canada",1976-10-01,84.998
"483","DE","Germany",1976-10-01,268.361
"484","FI","Finland",1976-10-01,4.37
"485","GB","United Kingdom",1976-10-01,40.954
"486","HU","Hungary",1976-10-01,64.658
"487","IT","Italy",1976-10-01,16.304
"488","JP","Japan",1976-10-01,67236.8
"489","KR","Korea",1976-10-01,1812.361
"490","NO","Norway",1976-10-01,80.499
"491","US","United States",1976-10-01,836.261
"492","CA","Canada",1977-01-01,87.777
"493","DE","Germany",1977-01-01,269.976
"494","FI","Finland",1977-01-01,4.442
"495","GB","United Kingdom",1977-01-01,41.807
"496","HU","Hungary",1977-01-01,66.365
"497","IT","Italy",1977-01-01,16.988
"498","JP","Japan",1977-01-01,68663.8
"499","KR","Korea",1977-01-01,1818.82
"500","NO","Norway",1977-01-01,83.953
"501","US","United States",1977-01-01,852.727
"502","CA","Canada",1977-04-01,92.217
"503","DE","Germany",1977-04-01,278.437
"504","FI","Finland",1977-04-01,4.596
"505","GB","United Kingdom",1977-04-01,43.513
"506","HU","Hungary",1977-04-01,69.583
"507","IT","Italy",1977-04-01,17.299
"508","JP","Japan",1977-04-01,70381.4
"509","KR","Korea",1977-04-01,1975.798
"510","NO","Norway",1977-04-01,87.199
"511","US","United States",1977-04-01,891.184
"512","CA","Canada",1977-07-01,96.841
"513","DE","Germany",1977-07-01,284.137
"514","FI","Finland",1977-07-01,4.807
"515","GB","United Kingdom",1977-07-01,45.22
"516","HU","Hungary",1977-07-01,73.178
"517","IT","Italy",1977-07-01,17.642
"518","JP","Japan",1977-07-01,73645.7
"519","KR","Korea",1977-07-01,2191.341
"520","NO","Norway",1977-07-01,90.189
"521","US","United States",1977-07-01,929.088
"522","AU","Australia",1977-10-01,34.36
"523","CA","Canada",1977-10-01,101.17
"524","DE","Germany",1977-10-01,295.657
"525","FI","Finland",1977-10-01,5.103
"526","FR","France",1977-10-01,57.167
"527","GB","United Kingdom",1977-10-01,46.926
"528","HU","Hungary",1977-10-01,75.851
"529","IT","Italy",1977-10-01,18.35
"530","JP","Japan",1977-10-01,76769.2
"531","KR","Korea",1977-10-01,2399.222
"532","NO","Norway",1977-10-01,94.466
"533","US","United States",1977-10-01,966.509
"534","AU","Australia",1978-01-01,35.619
"535","CA","Canada",1978-01-01,103.952
"536","DE","Germany",1978-01-01,296.533
"537","FI","Finland",1978-01-01,5.231
"538","FR","France",1978-01-01,59.488
"539","GB","United Kingdom",1978-01-01,48.632
"540","HU","Hungary",1978-01-01,76.934
"541","IT","Italy",1978-01-01,17.963
"542","JP","Japan",1978-01-01,78485
"543","KR","Korea",1978-01-01,2433.158
"544","NO","Norway",1978-01-01,97.569
