"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"146","AU","Australia","A","Credit-to-GDP ratios (actual data)",1996-07-01,114.4
"147","AU","Australia","A","Credit-to-GDP ratios (actual data)",1996-10-01,116
"148","AU","Australia","A","Credit-to-GDP ratios (actual data)",1997-01-01,115.7
"149","AU","Australia","A","Credit-to-GDP ratios (actual data)",1997-04-01,117.4
"150","AU","Australia","A","Credit-to-GDP ratios (actual data)",1997-07-01,118.4
"151","AU","Australia","A","Credit-to-GDP ratios (actual data)",1997-10-01,121.4
"152","AU","Australia","A","Credit-to-GDP ratios (actual data)",1998-01-01,121.8
"153","AU","Australia","A","Credit-to-GDP ratios (actual data)",1998-04-01,124.7
"154","AU","Australia","A","Credit-to-GDP ratios (actual data)",1998-07-01,125.4
"155","AU","Australia","A","Credit-to-GDP ratios (actual data)",1998-10-01,126.4
"156","AU","Australia","A","Credit-to-GDP ratios (actual data)",1999-01-01,127.6
"157","AU","Australia","A","Credit-to-GDP ratios (actual data)",1999-04-01,127.1
"158","AU","Australia","A","Credit-to-GDP ratios (actual data)",1999-07-01,128.8
"159","AU","Australia","A","Credit-to-GDP ratios (actual data)",1999-10-01,131.4
"160","AU","Australia","A","Credit-to-GDP ratios (actual data)",2000-01-01,132.4
"161","AU","Australia","A","Credit-to-GDP ratios (actual data)",2000-04-01,134.8
"162","AU","Australia","A","Credit-to-GDP ratios (actual data)",2000-07-01,135.7
"163","AU","Australia","A","Credit-to-GDP ratios (actual data)",2000-10-01,139.2
"164","AU","Australia","A","Credit-to-GDP ratios (actual data)",2001-01-01,141.6
"165","AU","Australia","A","Credit-to-GDP ratios (actual data)",2001-04-01,140.3
"166","AU","Australia","A","Credit-to-GDP ratios (actual data)",2001-07-01,141.3
"167","AU","Australia","A","Credit-to-GDP ratios (actual data)",2001-10-01,140.1
"168","AU","Australia","A","Credit-to-GDP ratios (actual data)",2002-01-01,139.8
"169","AU","Australia","A","Credit-to-GDP ratios (actual data)",2002-04-01,143.2
"170","AU","Australia","A","Credit-to-GDP ratios (actual data)",2002-07-01,146
"171","AU","Australia","A","Credit-to-GDP ratios (actual data)",2002-10-01,146.4
"172","AU","Australia","A","Credit-to-GDP ratios (actual data)",2003-01-01,147
"173","AU","Australia","A","Credit-to-GDP ratios (actual data)",2003-04-01,149.7
"174","AU","Australia","A","Credit-to-GDP ratios (actual data)",2003-07-01,150.9
"175","AU","Australia","A","Credit-to-GDP ratios (actual data)",2003-10-01,154.3
"176","AU","Australia","A","Credit-to-GDP ratios (actual data)",2004-01-01,154.9
"177","AU","Australia","A","Credit-to-GDP ratios (actual data)",2004-04-01,157.1
"178","AU","Australia","A","Credit-to-GDP ratios (actual data)",2004-07-01,158.3
"179","AU","Australia","A","Credit-to-GDP ratios (actual data)",2004-10-01,160.9
"180","AU","Australia","A","Credit-to-GDP ratios (actual data)",2005-01-01,162
"181","AU","Australia","A","Credit-to-GDP ratios (actual data)",2005-04-01,166.4
"182","AU","Australia","A","Credit-to-GDP ratios (actual data)",2005-07-01,168.6
"183","AU","Australia","A","Credit-to-GDP ratios (actual data)",2005-10-01,171.7
"184","AU","Australia","A","Credit-to-GDP ratios (actual data)",2006-01-01,172.5
"185","AU","Australia","A","Credit-to-GDP ratios (actual data)",2006-04-01,176.1
"186","AU","Australia","A","Credit-to-GDP ratios (actual data)",2006-07-01,178.8
"187","AU","Australia","A","Credit-to-GDP ratios (actual data)",2006-10-01,180.7
"188","AU","Australia","A","Credit-to-GDP ratios (actual data)",2007-01-01,181.3
"189","AU","Australia","A","Credit-to-GDP ratios (actual data)",2007-04-01,183.8
"190","AU","Australia","A","Credit-to-GDP ratios (actual data)",2007-07-01,187.3
"191","AU","Australia","A","Credit-to-GDP ratios (actual data)",2007-10-01,189
"192","AU","Australia","A","Credit-to-GDP ratios (actual data)",2008-01-01,190.1
"193","AU","Australia","A","Credit-to-GDP ratios (actual data)",2008-04-01,190.1
"194","AU","Australia","A","Credit-to-GDP ratios (actual data)",2008-07-01,189.6
"195","AU","Australia","A","Credit-to-GDP ratios (actual data)",2008-10-01,189.6
"196","AU","Australia","A","Credit-to-GDP ratios (actual data)",2009-01-01,187.4
"197","AU","Australia","A","Credit-to-GDP ratios (actual data)",2009-04-01,185.9
"198","AU","Australia","A","Credit-to-GDP ratios (actual data)",2009-07-01,187
"199","AU","Australia","A","Credit-to-GDP ratios (actual data)",2009-10-01,188
"200","AU","Australia","A","Credit-to-GDP ratios (actual data)",2010-01-01,187.7
"201","AU","Australia","A","Credit-to-GDP ratios (actual data)",2010-04-01,186.2
"202","AU","Australia","A","Credit-to-GDP ratios (actual data)",2010-07-01,183.5
"203","AU","Australia","A","Credit-to-GDP ratios (actual data)",2010-10-01,179.7
"204","AU","Australia","A","Credit-to-GDP ratios (actual data)",2011-01-01,178.2
"205","AU","Australia","A","Credit-to-GDP ratios (actual data)",2011-04-01,176.2
"206","AU","Australia","A","Credit-to-GDP ratios (actual data)",2011-07-01,176.5
"207","AU","Australia","A","Credit-to-GDP ratios (actual data)",2011-10-01,175.2
"208","AU","Australia","A","Credit-to-GDP ratios (actual data)",2012-01-01,175
"209","AU","Australia","A","Credit-to-GDP ratios (actual data)",2012-04-01,176.1
"210","AU","Australia","A","Credit-to-GDP ratios (actual data)",2012-07-01,176.4
"211","AU","Australia","A","Credit-to-GDP ratios (actual data)",2012-10-01,177
"212","AU","Australia","A","Credit-to-GDP ratios (actual data)",2013-01-01,177.3
"213","AU","Australia","A","Credit-to-GDP ratios (actual data)",2013-04-01,180.5
"214","AU","Australia","A","Credit-to-GDP ratios (actual data)",2013-07-01,180.4
"215","AU","Australia","A","Credit-to-GDP ratios (actual data)",2013-10-01,182.5
"216","AU","Australia","A","Credit-to-GDP ratios (actual data)",2014-01-01,181.7
"217","AU","Australia","A","Credit-to-GDP ratios (actual data)",2014-04-01,183.6
"218","AU","Australia","A","Credit-to-GDP ratios (actual data)",2014-07-01,186.1
"219","AU","Australia","A","Credit-to-GDP ratios (actual data)",2014-10-01,188.7
"220","AU","Australia","A","Credit-to-GDP ratios (actual data)",2015-01-01,192.9
"221","AU","Australia","A","Credit-to-GDP ratios (actual data)",2015-04-01,195.3
