"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"163","FR","France","A","Credit-to-GDP ratios (actual data)",2010-04-01,171.9
"164","FR","France","A","Credit-to-GDP ratios (actual data)",2010-07-01,171.5
"165","FR","France","A","Credit-to-GDP ratios (actual data)",2010-10-01,172.6
"166","FR","France","A","Credit-to-GDP ratios (actual data)",2011-01-01,172.9
"167","FR","France","A","Credit-to-GDP ratios (actual data)",2011-04-01,175.3
"168","FR","France","A","Credit-to-GDP ratios (actual data)",2011-07-01,177.4
"169","FR","France","A","Credit-to-GDP ratios (actual data)",2011-10-01,178.7
"170","FR","France","A","Credit-to-GDP ratios (actual data)",2012-01-01,180.6
"171","FR","France","A","Credit-to-GDP ratios (actual data)",2012-04-01,182.5
"172","FR","France","A","Credit-to-GDP ratios (actual data)",2012-07-01,182.5
"173","FR","France","A","Credit-to-GDP ratios (actual data)",2012-10-01,182.9
"174","FR","France","A","Credit-to-GDP ratios (actual data)",2013-01-01,182.9
"175","FR","France","A","Credit-to-GDP ratios (actual data)",2013-04-01,181.5
"176","FR","France","A","Credit-to-GDP ratios (actual data)",2013-07-01,182
"177","FR","France","A","Credit-to-GDP ratios (actual data)",2013-10-01,181.2
"178","FR","France","A","Credit-to-GDP ratios (actual data)",2014-01-01,182.6
"179","FR","France","A","Credit-to-GDP ratios (actual data)",2014-04-01,184.7
"180","FR","France","A","Credit-to-GDP ratios (actual data)",2014-07-01,186
"181","FR","France","A","Credit-to-GDP ratios (actual data)",2014-10-01,186.9
"182","FR","France","A","Credit-to-GDP ratios (actual data)",2015-01-01,189.6
"183","FR","France","A","Credit-to-GDP ratios (actual data)",2015-04-01,189.9
"184","FR","France","A","Credit-to-GDP ratios (actual data)",2015-07-01,190.4
"185","FR","France","A","Credit-to-GDP ratios (actual data)",2015-10-01,192.6
"186","FR","France","A","Credit-to-GDP ratios (actual data)",2016-01-01,195
"187","FR","France","A","Credit-to-GDP ratios (actual data)",2016-04-01,197.2
"188","FR","France","A","Credit-to-GDP ratios (actual data)",2016-07-01,198.3
"189","FR","France","A","Credit-to-GDP ratios (actual data)",2016-10-01,199.5
"190","FR","France","A","Credit-to-GDP ratios (actual data)",2017-01-01,200.5
"191","FR","France","A","Credit-to-GDP ratios (actual data)",2017-04-01,200.7
"192","FR","France","A","Credit-to-GDP ratios (actual data)",2017-07-01,200.5
"193","FR","France","A","Credit-to-GDP ratios (actual data)",2017-10-01,200.8
"194","FR","France","A","Credit-to-GDP ratios (actual data)",2018-01-01,201.8
"195","FR","France","A","Credit-to-GDP ratios (actual data)",2018-04-01,203
"196","FR","France","A","Credit-to-GDP ratios (actual data)",2018-07-01,203.9
"197","FR","France","A","Credit-to-GDP ratios (actual data)",2018-10-01,204.2
"198","FR","France","A","Credit-to-GDP ratios (actual data)",2019-01-01,208.1
"199","FR","France","A","Credit-to-GDP ratios (actual data)",2019-04-01,209.6
"200","FR","France","A","Credit-to-GDP ratios (actual data)",2019-07-01,211.6
"201","FR","France","A","Credit-to-GDP ratios (actual data)",2019-10-01,211.8
"202","FR","France","A","Credit-to-GDP ratios (actual data)",2020-01-01,215.2
"203","FR","France","A","Credit-to-GDP ratios (actual data)",2020-04-01,230.8
"204","FR","France","A","Credit-to-GDP ratios (actual data)",2020-07-01,235.3
"205","FR","France","A","Credit-to-GDP ratios (actual data)",2020-10-01,239.4
"206","FR","France","A","Credit-to-GDP ratios (actual data)",2021-01-01,238.9
"207","FR","France","A","Credit-to-GDP ratios (actual data)",2021-04-01,232.6
